EventCode,Event
"01	",Make public statement
10,Make statement
11,Decline comment
12,Make pessimistic comment
13,Make optimistic comment
14,Consider policy option
15,Acknowledge or claim responsibility
16,Deny responsibility
17,Engage in symbolic act
18,Make empathetic comment
19,Express accord
"02	",Appeal
20,Appeal
21,Appeal for material cooperation
211,Appeal for economic cooperation
212,Appeal for military cooperation
213,Appeal for judicial cooperation
214,Appeal for intelligence
22,"Appeal for diplomatic cooperation, such as policy support"
23,Appeal for aid
231,Appeal for economic aid
232,Appeal for military aid
233,Appeal for humanitarian aid
234,Appeal for military protection or peacekeeping
24,Appeal for political reform
241,Appeal for change in leadership
242,Appeal for policy change
243,Appeal for rights
244,"Appeal for change in institutions, regime"
25,Appeal to yield
251,Appeal for easing of administrative sanctions
252,Appeal for easing of popular dissent
253,Appeal for release of persons or property
254,"Appeal for easing of economic sanctions, boycott, or embargo"
255,Appeal for target to allow international involvement (non-mediation)
256,Appeal for de-escalation of military engagement
26,Appeal to others to meet or negotiate
27,Appeal to others to settle dispute
28,Appeal to others to engage in or accept mediation
"03	",Express intent to cooperate
30,Express intent to cooperate
31,"Express intent to engage in material cooperation,  not specified below"
311,Express intent to cooperate economically
312,Express intent to cooperate militarily
313,Express intent to cooperate on judicial matters
314,Express intent to cooperate on intelligence
32,Express intent to provide diplomatic cooperation such as policy support
33,Express intent to provide matyerial aid
331,Express intent to provide economic aid
332,Express intent to provide military aid
333,Express intent to provide humanitarian aid
334,Express intent to provide military protection or peacekeeping
34,Express intent to institute political reform
341,Express intent to change leadership
342,Express intent to change policy
343,Express intent to provide rights
344,"Express intent to change institutions, regime"
35,Express intent to yield
351,Express intent to ease administrative sanctions
352,Express intent to ease popular dissent
353,Express intent to release persons or property
354,"Express intent to ease economic sanctions, boycott, or embargo"
355,Express intent allow international involvement (not mediation)
356,Express intent to de-escalate military engagement 
36,Express intent to meet or negotiate
37,Express intent to settle dispute
38,Express intent to accept mediation
39,Express intent to mediate
"04	",Consult
40,Consult
41,Discuss by telephone
42,Make a visit
43,Host a visit
44,Meet at a ´hird¢location
45,Mediate
46,Engage in negotiation
"05	",Engage in diplomatic cooperation
50,Engage in diplomatic cooperation
51,Praise or endorse
52,Defend verbally
53,Rally support on behalf of
54,Grant diplomatic recognition
55,Apologize
56,Forgive
57,Sign formal agreement
"06	",Engage in material cooperation
60,Engage in material cooperation
61,Cooperate economically
62,Cooperate militarily
63,Engage in judicial cooperation
64,Share intelligence or information
"07	",Provide aid
70,Provide aid
71,Provide economic aid
72,Provide military aid
73,Provide humanitarian aid
74,Provide military protection or peacekeeping
75,Grant asylum
"08	",Yield
80,Yield 
81,Ease administrative sanctions
811,Ease restrictions on political freedoms
812,Ease ban on political parties or politicians
813,Ease curfew
814,Ease state of emergency or martial law
82,Ease political dissent 
83,Accede to requests or demands for political reform not specified below
831,Accede to demands for change in leadership
832,Accede to demands for change in policy
833,Accede to demands for rights
834,"Accede to demands for change in institutions, regime"
84,"Return, release"
841,"Return, release person(s)"
842,"Return, release property"
85,"Ease economic sanctions, boycott, embargo"
86,Allow international involvement not specified below
861,Receive deployment of peacekeepers
862,Receive inspectors
863,Allow delivery of humanitarian aid
87,De-escalate military engagement
871,"Declare truce, ceasefire"
872,Ease military blockade
873,Demobilize armed forces
874,Retreat or surrender militarily
"09	",Investigate
90,Investigate
91,"Investigate crime, corruption"
92,Investigate human rights abuses
93,Investigate military action
94,Investigate war crimes
"10	",Demand
100,Demand
101,"Demand information, investigation"
1011,Demand economic cooperation
1012,Demand military cooperation
1013,Demand judicial cooperation
1014,Demand intelligence cooperation
102,Demand policy support
103,"Demand aid, protection, or peacekeeping"
1031,Demand economic aid
1032,Demand military aid
1033,Demand humanitarian aid
1034,Demand military protection or peacekeeping
104,Demand political reform
1041,Demand change in leadership
1042,Demand policy change
1043,Demand rights
1044,"Demand change in institutions, regime"
105,Demand mediation
1051,Demand easing of administrative sanctions
1052,Demand easing of political dissent
1053,Demand release of persons or property
1054,"Demand easing of economic sanctions, boycott, or embargo"
1055,Demand that target allows international involvement (non-mediation)
1056,Demand de-escalation of military engagement106:[-5.0] demand withdrawal
107,Demand ceasefire
108,"Demand meeting, negotiation"
"11	",Disapprove
110,Disapprove
111,Criticize or denounce 
112,Accuse
1121,"Accuse of crime, corruption"
1122,Accuse of human rights abuses
1123,Accuse of aggression
1124,Accuse of war crimes
1125,"Accuse of espionage, treason"
113,Rally opposition against
114,Complain officially 
115,Bring lawsuit against 
116,Find guilty or liable (legally)
"12	",Reject
120,Reject
121,Reject material cooperation
1211,Reject economic cooperation
1212,Reject military cooperation
122,Reject request or demand for material aid
1221,Reject request for economic aid
1222,Reject request for military aid
1223,Reject request for humanitarian aid
1224,Reject request for military protection or peacekeeping
123,Reject request or demand for political reform
1231,Reject request for change in leadership
1232,Reject request for policy change
1233,Reject request for rights
1234,"Reject request for change in institutions, regime"
124,Refuse to yield
1241,Refuse to ease administrative sanctions
1242,Refuse to ease popular dissent
1243,Refuse to release persons or property
1244,"Refuse to ease economic sanctions, boycott, or embargo"
1245,Refuse to allow international involvement (non mediation)
1246,Refuse to de-escalate military engagement
125,"Reject proposal to meet, discuss, or negotiate"
126,Reject mediation
127,"Reject plan, agreement to settle dispute"
128,"Defy norms, law"
129,Veto
"13	",Threaten
130,Threaten
131,Threaten non-force
1311,Threaten to reduce or stop aid
1312,"Threaten to boycott, embargo, or sanction"
1313,Threaten to reduce or break relations
132,Threaten with administrative sanctions
1321,Threaten to impose restrictions on political freedoms 
1322,Threaten to ban political parties or politicians
1323,Threaten to impose curfew
1324,Threaten to impose state of emergency or martial law
133,"Threaten political dissent, protest"
134,Threaten to halt negotiations
135,Threaten to halt mediation
136,Threaten to halt international involvement (non-mediation)
137,Threaten with violent repression
138,Threaten to use military force
1381,Threaten blockade
1382,Threaten occupation 
1383,Threaten unconventional violence 
1384,Threaten conventional attack  
1385,Threaten attack with wmd
139,Give ultimatum
"14	",Protest
140,Engage in political dissent
141,Demonstrate or rally
1411,Demonstrate for leadership change
1412,Demonstrate for policy change
1413,Demonstrate for rights
1414,"Demonstrate for change in institutions, regime"
142,Conduct hunger strike
1421,Conduct hunger strike for leadership change
1422,Conduct hunger strike for policy change
1423,Conduct hunger strike for rights
1424,"Conduct hunger strike for change in institutions, regime "
143,Conduct strike or boycott
1431,Conduct strike or boycott for leadership change  
1432,Conduct strike or boycott for policy change
1433,Conduct strike or boycott for rights
1434,"Conduct strike or boycott for change in institutions, regime"
144,"Obstruct passage, block"
1441,Obstruct passage to demand leadership change 
1442,Obstruct passage to demand policy change
1443,Obstruct passage to demand rights
1444,"Obstruct passage to demand change in institutions, regime"
145,"Protest violently, riot"
1451,Engage in violent protest for leadership change  
1452,Engage in violent protest for policy change
1453,Engage in violent protest for rights
1454,"Engage in violent protest for  change in institutions, regime"
"15	",Exhibit force posture
150,Demonstrate military or police power
151,Increase police alert status
152,Increase military alert status
153,Mobilize or increase police power
154,Mobilize or increase armed forces 
"16	",Reduce relations
160,Reduce relations
161,Reduce or break diplomatic relations
162,Reduce or stop aid
1621,Reduce or stop economic assistance
1622,Reduce or stop military assistance
1623,Reduce or stop humanitarian assistance
163,"Impose embargo, boycott, or sanctions"
164,Halt negotiations
165,Halt mediation
166,Expel or withdraw
1661,Expel or withdraw peacekeepers
1662,"Expel or withdraw inspectors, observers"
1663,Expel or withdraw aid agencies
"17	",Coerce
170,Coerce 
171,Seize or damage property
1711,Confiscate property
1712,Destroy property
172,Impose administrative sanctions
1721,Impose restrictions on political freedoms  
1722,Ban political parties or politicians
1723,Impose curfew
1724,Impose state of emergency or martial law
173,"Arrest, detain, or charge with legal action "
174,Expel or deport individuals
175,Use tactics of violent repression  
"18	",Assault
180,Use unconventional violence
181,"Abduct, hijack, or take hostage "
182,Physically assault
1821,Sexually assault
1822,Torture
1823,Kill by physical assault
183,"Conduct suicide, car, or other non-military bombing, not spec below"
1831,Carry out suicide bombing
1832,Carry out car bombing
1833,Carry out roadside bombing 
184,Use as human shield 
185,Attempt to assassinate
186,Assassinate 
"19	",Fight
190,Use conventional military force
191,"Impose blockade, restrict movement "
192,Occupy territory
193,Fight with small arms and light weapons
194,Fight with artillery and tanks
195,Employ aerial weapons
196,Violate ceasefire 
"20	",Use unconventional mass violence
200,Use unconventional mass violence
201,Engage in mass expulsion
202,Engage in mass killings
203,Engage in ethnic cleansing
204,Use weapons of mass destruction
2041,"Use chemical, biological, or radiologicalweapons"
2042,Detonate nuclear weapons