GKGRECORDID,V2.1DATE,V2SOURCECOLLECTIONIDENTIFIER,V2SOURCECOMMONNAME,V2DOCUMENTIDENTIFIER,V1COUNTS,CountType,Count,ObjectType,V2.1COUNTS,V1THEMES,V2ENHANCEDTHEMES,V1LOCATIONS,LocationType,Location FullName,LocationCountryCode,V2ENHANCEDLOCATIONS,V1PERSONS,V2ENHANCEDPERSONS,V1ORGANIZATIONS,V2ENHANCEDORGANIZATIONS,V1.5TONE,V2.1ENHANCEDDATES,Day,Month,Year,V2GCAM,V2.1SHARINGIMAGE,V2.1RELATEDIMAGES,V2.1SOCIALIMAGEEMBEDS,V2.1SOCIALVIDEOEMBEDS,V2.1QUOTATIONS,QuoteLength,QuoteVerb,Quote,V2.1ALLNAMES,V2.1AMOUNTS,Amount,Object,V2.1TRANSLATIONINFO,SourceLanguageCode,TranslationEngine,V2EXTRASXML,Authors,Title,BookTitle,Date,Journal
,,,,,,,,,,Leader,,,,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,Ewe,,,,,,,
,,,,,,,,,,Legalize,,,,,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,Ewondo,,,,,,,
,,,,,,,,,,Legislation,,,,,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,Fang (Equatorial Guinea),,,,,,,
,,,,,,,,,,Lgbt,,,,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,Faroese,,,,,,,
,,,,,,,,,,Literacy,,,,,Malta,,,,,,,,,,,,,,,,,,,,,,,,,Persian,,,,,,,
,,,,,,,,,,Locusts,,,,,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,Fanti,,,,,,,
,,,,,,,,,,Manmade Disaster,,,,,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,Fijian,,,,,,,
,,,,,,,,,,Manmade Disaster Implied,,,,,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,Filipino,,,,,,,
,,,,,,,,,,Maritime,,,,,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,Finnish,,,,,,,
,,,,,,,,,,Maritime Incident,,,,,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,Finno-Ugrian languages,,,,,,,
,,,,,,,,,,Maritime Incident Implied,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,Fon,,,,,,,
,,,,,,,,,,Maritime Incident Self Identified,,,,,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,Formosan languages,,,,,,,
,,,,,,,,,,Maritime Piracy,,,,,Midway Islands,,,,,,,,,,,,,,,,,,,,,,,,,French,,,,,,,
,,,,,,,,,,Media Censorship,,,,,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,French,,,,,,,
,,,,,,,,,,Media Msm,,,,,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,Middle French (c. 1400_1600),,,,,,,
,,,,,,,,,,Media Social,,,,,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,Old French (842_c. 1400),,,,,,,
,,,,,,,,,,Medical,,,,,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,Northern Frisian,,,,,,,
,,,,,,,,,,Medical Security,,,,,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Frisian,,,,,,,
,,,,,,,,,,Mil Self Identified Arms Deal,,,,,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,Western Frisian,,,,,,,
,,,,,,,,,,Mil Weapons Proliferation,,,,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,Fulah,,,,,,,
,,,,,,,,,,Military,,,,,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,Friulian,,,,,,,
,,,,,,,,,,Military Cooperation,,,,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,Ga,,,,,,,
,,,,,,,,,,Movement Environmental,,,,,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,Gayo,,,,,,,
,,,,,,,,,,Movement General,,,,,Navassa Island,,,,,,,,,,,,,,,,,,,,,,,,,Gbaya (Central African Republic),,,,,,,
,,,,,,,,,,Movement Other,,,,,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,Germanic languages,,,,,,,
,,,,,,,,,,Movement Social,,,,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,Georgian,,,,,,,
,,,,,,,,,,Movement Womens,,,,,Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,German,,,,,,,
,,,,,,,,,,Natural Disaster,,,,,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,Ge'ez,,,,,,,
,,,,,,,,,,Negotiations,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,Gilbertese,,,,,,,
,,,,,,,,,,New Construction,,,,,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Gaelic,,,,,,,
,,,,,,,,,,Organized Crime,,,,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,Irish,,,,,,,
,,,,,,,,,,Peacekeeping,,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,Galician,,,,,,,
,,,,,,,,,,Persecution,,,,,Niue,,,,,,,,,,,,,,,,,,,,,,,,,Manx,,,,,,,
,,,,,,,,,,Phone Outage,,,,,No Mans Land,,,,,,,,,,,,,,,,,,,,,,,,,East Germanic languages,,,,,,,
,,,,,,,,,,Pipeline Incident,,,,,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,Middle High German (c. 1050_1500),,,,,,,
,,,,,,,,,,Piracy,,,,,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,North Germanic languages,,,,,,,
,,,,,,,,,,Pol Hostvisit,,,,,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,West Germanic languages,,,,,,,
,,,,,,,,,,Political Prisoner,,,,,Norway,,,,,,,,,,,,,,,,,,,,,,,,,Old High German (c. 750_1050),,,,,,,
,,,,,,,,,,Political Turmoil,,,,,Oceans,,,,,,,,,,,,,,,,,,,,,,,,,Gondi,,,,,,,
,,,,,,,,,,Population Density,,,,,Oman,,,,,,,,,,,,,,,,,,,,,,,,,Gorontalo,,,,,,,
,,,,,,,,,,Poverty,,,,,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,
,,,,,,,,,,Power Outage,,,,,Palau,,,,,,,,,,,,,,,,,,,,,,,,,Grebo,,,,,,,
,,,,,,,,,,Privatization,,,,,Palmyra Atoll,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek (to 1453),,,,,,,
,,,,,,,,,,Propaganda,,,,,Panama,,,,,,,,,,,,,,,,,,,,,,,,,Modern Greek (1453-),,,,,,,
,,,,,,,,,,Property Rights,,,,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,Greek languages,,,,,,,
,,,,,,,,,,Public Transport,,,,,Paracel Islands,,,,,,,,,,,,,,,,,,,,,,,,,Guarani,,,,,,,
,,,,,,,,,,Rail Incident,,,,,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,Swiss German,,,,,,,
,,,,,,,,,,Rape,,,,,Peru,,,,,,,,,,,,,,,,,,,,,,,,,Gujarati,,,,,,,
,,,,,,,,,,Ratify,,,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,Gwich_in,,,,,,,
,,,,,,,,,,Rebellion,,,,,Pitcairn Islands,,,,,,,,,,,,,,,,,,,,,,,,,Haida,,,,,,,
,,,,,,,,,,Rebels,,,,,Poland,,,,,,,,,,,,,,,,,,,,,,,,,Haitian,,,,,,,
,,,,,,,,,,Recruitment,,,,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,Hausa,,,,,,,
,,,,,,,,,,Religion Anti-semitism,,,,,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,Hawaiian,,,,,,,
,,,,,,,,,,Relations,,,,,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,Hebrew,,,,,,,
,,,,,,,,,,Releas Hostage,,,,,Reunion,,,,,,,,,,,,,,,,,,,,,,,,,Herero,,,,,,,
,,,,,,,,,,Release Prison,,,,,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Hiligaynon,,,,,,,
,,,,,,,,,,Religion,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,Himachali languages,,,,,,,
,,,,,,,,,,Resignation,,,,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,Hindi,,,,,,,
,,,,,,,,,,Retaliate,,,,,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,Hittite,,,,,,,
,,,,,,,,,,Retirement,,,,,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,Hmong,,,,,,,
,,,,,,,,,,Retirements,,,,,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,Hiri Motu,,,,,,,
,,,,,,,,,,Road Incident,,,,,Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,Hmong-Mien languages,,,,,,,
,,,,,,,,,,Rural,,,,,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,Hokan languages,,,,,,,
,,,,,,,,,,Sanctions,,,,,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,Croatian,,,,,,,
,,,,,,,,,,Sanitation,,,,,Saint-Barthelemy Island,,,,,,,,,,,,,,,,,,,,,,,,,Upper Sorbian,,,,,,,
,,,,,,,,,,Scandal,,,,,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,Hungarian,,,,,,,
,,,,,,,,,,Science,,,,,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,Hupa,,,,,,,
,,,,,,,,,,Security Services,,,,,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,Armenian,,,,,,,
,,,,,,,,,,Seige,,,,,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,Armenian (family),,,,,,,
,,,,,,,,,,Self Identified Atrocity,,,,,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,Iban,,,,,,,
,,,,,,,,,,Self Identified Environ Disaster,,,,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Igbo,,,,,,,
,,,,,,,,,,Self Identified Human Rights,,,,,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,Icelandic,,,,,,,
,,,,,,,,,,Self Identified Humanitarian Crisis,,,,,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,Ido,,,,,,,
,,,,,,,,,,Separatists,,,,,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,Sichuan Yi,,,,,,,
,,,,,,,,,,Shortage,,,,,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,Indo-Iranian languages,,,,,,,
,,,,,,,,,,Self Identified Capacity Building,,,,,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,Ijo languages,,,,,,,
,,,,,,,,,,Self Identified Civil Liberties,,,,,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,Inuktitut,,,,,,,
,,,,,,,,,,Self Identified Dictatorship,,,,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,Interlingue,,,,,,,
,,,,,,,,,,Self Identified Economic Development,,,,,South Georgia and the South Sandwich Islands,,,,,,,,,,,,,,,,,,,,,,,,,Iloko,,,,,,,
,,,,,,,,,,Self Identified Economic Power,,,,,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,Interlingua (International Auxiliary Language Association),,,,,,,
,,,,,,,,,,Self Identified Military Buildup,,,,,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,Indic languages,,,,,,,
,,,,,,,,,,Self Identified Military Readiness,,,,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Indonesian,,,,,,,
,,,,,,,,,,Self Identified Military Spending,,,,,Spratly Islands,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European languages,,,,,,,
,,,,,,,,,,Self Identified Mineral Resources,,,,,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,Ingush,,,,,,,
,,,,,,,,,,Self Identified Natural Resources,,,,,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,Inupiaq,,,,,,,
,,,,,,,,,,Self Identified Peace Building,,,,,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,Iranian languages,,,,,,,
,,,,,,,,,,Self Identified Political Boundaries,,,,,Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,Iroquoian languages,,,,,,,
,,,,,,,,,,Self Identified Rule Of Law,,,,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,Icelandic,,,,,,,
,,,,,,,,,,Slums,,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Italian,,,,,,,
,,,,,,,,,,Smuggling,,,,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Italic languages,,,,,,,
,,,,,,,,,,Diplomatic cooperation,,,,,Syria,,,,,,,,,,,,,,,,,,,,,,,,,Javanese,,,,,,,
,,,,,,,,,,Economic cooperation,,,,,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,Lojban,,,,,,,
,,,,,,,,,,Expressing Regret,,,,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,Japanese,,,,,,,
,,,,,,,,,,Eexpress Support,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,Judeo-Persian,,,,,,,
,,,,,,,,,,Forced Relocation,,,,,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,Japanese (family),,,,,,,
,,,,,,,,,,General Crime,,,,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,Judeo-Arabic,,,,,,,
,,,,,,,,,,Intelligence Sharing,,,,,Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,Kara-Kalpak,,,,,,,
,,,,,,,,,,Judicial Cooperation,,,,,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,Kabyle,,,,,,,
,,,,,,,,,,Forced migration,,,,,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,Kachin,,,,,,,
,,,,,,,,,,Relating to Pardoning,,,,,Tromelin Island,,,,,,,,,,,,,,,,,,,,,,,,,Kalaallisut,,,,,,,
,,,,,,,,,,Relating to suicide,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,Kamba (Kenya),,,,,,,
,,,,,,,,,,Suspicious Activities,,,,,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,Kannada,,,,,,,
,,,,,,,,,,Suspicious People,,,,,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,Karen languages,,,,,,,
,,,,,,,,,,Traffic Accident,,,,,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,Kashmiri,,,,,,,
,,,,,,,,,,Sovereignty,,,,,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,Georgian,,,,,,,
,,,,,,,,,,State Of Emergency,,,,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,Kanuri,,,,,,,
,,,,,,,,,,Strike,,,,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,Kawi,,,,,,,
,,,,,,,,,,Suicide Attack,,,,,Undersea Features,,,,,,,,,,,,,,,,,,,,,,,,,Kazakh,,,,,,,
,,,,,,,,,,Surveillance,,,,,Undesignated Sovereignty,,,,,,,,,,,,,,,,,,,,,,,,,Kabardian,,,,,,,
,,,,,,,,,,Take Office,,,,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,Kordofanian languages,,,,,,,
,,,,,,,,,,Terror,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,Khasi,,,,,,,
,,,,,,,,,,Torture,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,Khoisan languages,,,,,,,
,,,,,,,,,,Tourism,,,,,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,Central Khmer,,,,,,,
,,,,,,,,,,Traffic,,,,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,Khotanese,,,,,,,
,,,,,,,,,,Transparency,,,,,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,Kikuyu,,,,,,,
,,,,,,,,,,Treason,,,,,Vatican City,,,,,,,,,,,,,,,,,,,,,,,,,Kinyarwanda,,,,,,,
,,,,,,,,,,Trial,,,,,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,Kirghiz,,,,,,,
,,,,,,,,,,Unemployment,,,,,"Vietnam, Democratic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,Kimbundu,,,,,,,
,,,,,,,,,,Ungoverned,,,,,Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,Konkani (macrolanguage),,,,,,,
,,,,,,,,,,Unrest Checkpoint,,,,,Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,Komi,,,,,,,
,,,,,,,,,,Unrest Closingborder,,,,,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,,,,,,Kongo,,,,,,,
,,,,,,,,,,Unrest Hunger Strikes,,,,,West Bank,,,,,,,,,,,,,,,,,,,,,,,,,Korean,,,,,,,
,,,,,,,,,,UnrestMolotov Cocktails,,,,,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,Kosraean,,,,,,,
,,,,,,,,,,Unrest Police Brutality,,,,,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,Kpelle,,,,,,,
,,,,,,,,,,Unrest Stone Throwing,,,,,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,Karachay-Balkar,,,,,,,
,,,,,,,,,,Unrest Stoning,,,,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,Karelian,,,,,,,
,,,,,,,,,,Unsafe Work Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kru languages,,,,,,,
,,,,,,,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurukh,,,,,,,
,,,,,,,,,,Urban Sprawl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuanyama,,,,,,,
,,,,,,,,,,Vandalize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kumyk,,,,,,,
,,,,,,,,,,Veto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurdish,,,,,,,
,,,,,,,,,,Violent Unrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutenai,,,,,,,
,,,,,,,,,,Water Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ladino,,,,,,,
,,,,,,,,,,Whistleblower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahnda,,,,,,,
,,,,,,,,,,Weapons of Mass Distruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamba,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lao,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latvian,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lezghian,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limburgan,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lingala,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithuanian,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mongo,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lozi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourgish,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luba-Lulua,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luba-Katanga,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganda,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luiseno,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lunda,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luo (Kenya and Tanzania),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lushai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macedonian,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madurese,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magahi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshallese,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maithili,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Makasar,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malayalam,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandingo,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maori,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austronesian languages,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marathi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (macrolanguage),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moksha,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandar,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mende (Sierra Leone),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Irish (900-1200),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mi'kmaq,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minangkabau,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncoded languages,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macedonian,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mon-Khmer languages,,,,,,,
